Source SGT:String(32):Required,Destination SGT:String(32):Required,SGACL Name:String(32):Required,Rule Status:String(enabled|disabled|monitor):Required
GuestMobile,EXT,EMPTY,enabled
GuestMobile,FMC,EMPTY,enabled
GuestMobile,GuestMobile,EMPTY,enabled
GuestMobile,GuestWS,EMPTY,enabled
GuestMobile,Guests,EMPTY,enabled
GuestMobile,JuanP,EMPTY,enabled
GuestMobile,LAB1,EMPTY,enabled
GuestMobile,LAB2,EMPTY,enabled
GuestMobile,Lorenzo,EMPTY,enabled
GuestMobile,MM,EMPTY,enabled
GuestMobile,PACO,EMPTY,enabled
GuestMobile,PRINT,EMPTY,enabled
GuestMobile,REPSOL,EMPTY,enabled
GuestMobile,TESTSGT21,EMPTY,enabled
GuestMobile,TESTSGT22,EMPTY,enabled
GuestMobile,TESTSGT23,EMPTY,enabled
GuestMobile,TESTSGT3,EMPTY,enabled
GuestMobile,TESTSGT4,EMPTY,enabled
GuestMobile,TESTSGT5,EMPTY,enabled
GuestMobile,TESTSGT6,EMPTY,enabled
GuestMobile,TESTSGT7,EMPTY,enabled
GuestMobile,TESTSGT8,EMPTY,enabled
GuestMobile,THIN,EMPTY,enabled
GuestMobile,TLF,EMPTY,enabled
GuestMobile,TOIP,EMPTY,enabled
GuestMobile,UPS,EMPTY,enabled
GuestMobile,Unknown,EMPTY,enabled
GuestMobile,VISIT,EMPTY,enabled
GuestMobile,WCOR,EMPTY,enabled
GuestMobile,WGUEST,EMPTY,enabled
GuestMobile,WINT,EMPTY,enabled
GuestMobile,WMIR,EMPTY,enabled
GuestMobile,WPDA,EMPTY,enabled
GuestMobile,WVOIP,EMPTY,enabled
GuestMobile,asier,EMPTY,enabled
GuestMobile,istvan,EMPTY,enabled
GuestMobile,Quarantined_Systems,EMPTY,enabled
GuestMobile,dddd,EMPTY,enabled
GuestMobile,Abelardo,EMPTY,enabled
GuestMobile,Luis,EMPTY,enabled
GuestMobile,istvan3,EMPTY,enabled
GuestMobile,MariLuz,EMPTY,enabled
GuestWS,AP,EMPTY,enabled
GuestWS,AUT,EMPTY,enabled
GuestWS,COR,EMPTY,enabled
GuestWS,EKO,EMPTY,enabled
GuestWS,EXT,EMPTY,enabled
GuestWS,FMC,EMPTY,enabled
GuestWS,GuestMobile,EMPTY,enabled
GuestWS,GuestWS,EMPTY,enabled
GuestWS,Guests,EMPTY,enabled
GuestWS,JuanP,EMPTY,enabled
GuestWS,LAB1,EMPTY,enabled
GuestWS,LAB2,EMPTY,enabled
GuestWS,Lorenzo,EMPTY,enabled
GuestWS,MM,EMPTY,enabled
GuestWS,PACO,EMPTY,enabled
GuestWS,PRINT,EMPTY,enabled
GuestWS,REPSOL,EMPTY,enabled
GuestWS,TESTSGT21,EMPTY,enabled
GuestWS,TESTSGT22,EMPTY,enabled
GuestWS,TESTSGT23,EMPTY,enabled
GuestWS,TESTSGT3,EMPTY,enabled
GuestWS,TESTSGT4,EMPTY,enabled
GuestWS,TESTSGT5,EMPTY,enabled
GuestWS,TESTSGT6,EMPTY,enabled
GuestWS,TESTSGT7,EMPTY,enabled
GuestWS,TESTSGT8,EMPTY,enabled
GuestWS,THIN,EMPTY,enabled
GuestWS,TLF,EMPTY,enabled
GuestWS,TOIP,EMPTY,enabled
GuestWS,UPS,EMPTY,enabled
GuestWS,Unknown,EMPTY,enabled
GuestWS,VISIT,EMPTY,enabled
GuestWS,WCOR,EMPTY,enabled
GuestWS,WGUEST,EMPTY,enabled
GuestWS,WINT,EMPTY,enabled
GuestWS,WMIR,EMPTY,enabled
GuestWS,WPDA,EMPTY,enabled
GuestWS,WVOIP,EMPTY,enabled
GuestWS,asier,EMPTY,enabled
GuestWS,istvan,EMPTY,enabled
GuestWS,Quarantined_Systems,EMPTY,enabled
GuestWS,dddd,EMPTY,enabled
GuestWS,Abelardo,EMPTY,enabled
GuestWS,Luis,EMPTY,enabled
GuestWS,istvan3,EMPTY,enabled
GuestWS,MariLuz,EMPTY,enabled
Guests,AP,EMPTY,enabled
Guests,AUT,EMPTY,enabled
Guests,COR,EMPTY,enabled
Guests,EKO,EMPTY,enabled
Guests,EXT,EMPTY,enabled
Guests,FMC,EMPTY,enabled
Guests,GuestMobile,EMPTY,enabled
Guests,GuestWS,EMPTY,enabled
Guests,Guests,EMPTY,enabled
Guests,JuanP,EMPTY,enabled
Guests,LAB1,EMPTY,enabled
Guests,LAB2,EMPTY,enabled
Guests,Lorenzo,EMPTY,enabled
Guests,MM,EMPTY,enabled
Guests,PACO,EMPTY,enabled
Guests,PRINT,EMPTY,enabled
Guests,REPSOL,EMPTY,enabled
Guests,TESTSGT21,EMPTY,enabled
Guests,TESTSGT22,EMPTY,enabled
Guests,TESTSGT23,EMPTY,enabled
Guests,TESTSGT3,EMPTY,enabled
Guests,TESTSGT4,EMPTY,enabled
Guests,TESTSGT5,EMPTY,enabled
Guests,TESTSGT6,EMPTY,enabled
Guests,TESTSGT7,EMPTY,enabled
Guests,TESTSGT8,EMPTY,enabled
Guests,THIN,EMPTY,enabled
Guests,TLF,EMPTY,enabled
Guests,TOIP,EMPTY,enabled
Guests,UPS,EMPTY,enabled
Guests,Unknown,EMPTY,enabled
Guests,VISIT,EMPTY,enabled
Guests,WCOR,EMPTY,enabled
Guests,WGUEST,EMPTY,enabled
Guests,WINT,EMPTY,enabled
Guests,WMIR,EMPTY,enabled
Guests,WPDA,EMPTY,enabled
Guests,WVOIP,EMPTY,enabled
Guests,asier,EMPTY,enabled
Guests,istvan,EMPTY,enabled
Guests,Quarantined_Systems,EMPTY,enabled
Guests,dddd,EMPTY,enabled
Guests,Abelardo,EMPTY,enabled
Guests,Luis,EMPTY,enabled
Guests,istvan3,EMPTY,enabled
Guests,MariLuz,EMPTY,enabled
JuanP,AP,EMPTY,enabled
JuanP,AUT,EMPTY,enabled
JuanP,COR,EMPTY,enabled
JuanP,EKO,EMPTY,enabled
JuanP,EXT,EMPTY,enabled
JuanP,FMC,EMPTY,enabled
JuanP,GuestMobile,EMPTY,enabled
JuanP,GuestWS,EMPTY,enabled
JuanP,Guests,EMPTY,enabled
JuanP,JuanP,EMPTY,enabled
JuanP,LAB1,EMPTY,enabled
JuanP,LAB2,EMPTY,enabled
JuanP,Lorenzo,EMPTY,enabled
JuanP,MM,EMPTY,enabled
JuanP,PACO,EMPTY,enabled
JuanP,PRINT,EMPTY,enabled
JuanP,REPSOL,EMPTY,enabled
JuanP,TESTSGT21,EMPTY,enabled
JuanP,TESTSGT22,EMPTY,enabled
JuanP,TESTSGT23,EMPTY,enabled
JuanP,TESTSGT3,EMPTY,enabled
JuanP,TESTSGT4,EMPTY,enabled
JuanP,TESTSGT5,EMPTY,enabled
JuanP,TESTSGT6,EMPTY,enabled
JuanP,TESTSGT7,EMPTY,enabled
JuanP,TESTSGT8,EMPTY,enabled
JuanP,THIN,EMPTY,enabled
JuanP,TLF,EMPTY,enabled
JuanP,TOIP,EMPTY,enabled
JuanP,UPS,EMPTY,enabled
JuanP,Unknown,EMPTY,enabled
JuanP,VISIT,EMPTY,enabled
JuanP,WCOR,EMPTY,enabled
JuanP,WGUEST,EMPTY,enabled
JuanP,WINT,EMPTY,enabled
JuanP,WMIR,EMPTY,enabled
JuanP,WPDA,EMPTY,enabled
JuanP,WVOIP,EMPTY,enabled
JuanP,asier,EMPTY,enabled
JuanP,istvan,EMPTY,enabled
JuanP,Quarantined_Systems,EMPTY,enabled
JuanP,dddd,EMPTY,enabled
JuanP,Abelardo,EMPTY,enabled
JuanP,Luis,EMPTY,enabled
JuanP,istvan3,EMPTY,enabled
JuanP,MariLuz,EMPTY,enabled
LAB1,AP,EMPTY,enabled
LAB1,AUT,EMPTY,enabled
LAB1,COR,EMPTY,enabled
LAB1,EKO,EMPTY,enabled
LAB1,EXT,EMPTY,enabled
LAB1,FMC,EMPTY,enabled
LAB1,GuestMobile,EMPTY,enabled
LAB1,GuestWS,EMPTY,enabled
LAB1,Guests,EMPTY,enabled
LAB1,JuanP,EMPTY,enabled
LAB1,LAB1,EMPTY,enabled
LAB1,LAB2,EMPTY,enabled
LAB1,Lorenzo,EMPTY,enabled
LAB1,MM,EMPTY,enabled
LAB1,PACO,EMPTY,enabled
LAB1,PRINT,EMPTY,enabled
LAB1,REPSOL,EMPTY,enabled
LAB1,TESTSGT21,EMPTY,enabled
LAB1,TESTSGT22,EMPTY,enabled
LAB1,TESTSGT23,EMPTY,enabled
LAB1,TESTSGT3,EMPTY,enabled
LAB1,TESTSGT4,EMPTY,enabled
LAB1,TESTSGT5,EMPTY,enabled
LAB1,TESTSGT6,EMPTY,enabled
LAB1,TESTSGT7,EMPTY,enabled
LAB1,TESTSGT8,EMPTY,enabled
LAB1,THIN,EMPTY,enabled
LAB1,TLF,EMPTY,enabled
LAB1,TOIP,EMPTY,enabled
LAB1,UPS,EMPTY,enabled
LAB1,Unknown,EMPTY,enabled
LAB1,VISIT,EMPTY,enabled
LAB1,WCOR,EMPTY,enabled
LAB1,WGUEST,EMPTY,enabled
LAB1,WINT,EMPTY,enabled
LAB1,WMIR,EMPTY,enabled
LAB1,WPDA,EMPTY,enabled
LAB1,WVOIP,EMPTY,enabled
LAB1,asier,EMPTY,enabled
LAB1,istvan,EMPTY,enabled
LAB1,Quarantined_Systems,EMPTY,enabled
LAB1,dddd,EMPTY,enabled
LAB1,Abelardo,EMPTY,enabled
LAB1,Luis,EMPTY,enabled
LAB1,istvan3,EMPTY,enabled
LAB1,MariLuz,EMPTY,enabled
LAB2,AP,EMPTY,enabled
LAB2,AUT,EMPTY,enabled
LAB2,COR,EMPTY,enabled
LAB2,EKO,EMPTY,enabled
LAB2,EXT,EMPTY,enabled
LAB2,FMC,EMPTY,enabled
LAB2,GuestMobile,EMPTY,enabled
LAB2,GuestWS,EMPTY,enabled
LAB2,Guests,EMPTY,enabled
LAB2,JuanP,EMPTY,enabled
