Source SGT:String(32):Required,Destination SGT:String(32):Required,SGACL Name:String(32):Required,Rule Status:String(enabled|disabled|monitor):Required
EKO,WGUEST,EMPTY,Enabled
EKO,WINT,EMPTY,Enabled
EKO,WMIR,EMPTY,Enabled
EKO,WPDA,EMPTY,Enabled
EKO,WVOIP,EMPTY,Enabled
EKO,asier,EMPTY,Enabled
EKO,dddd,EMPTY,Enabled
EKO,istvan,EMPTY,Enabled
EKO,istvan3,EMPTY,Enabled
EXT,AP,EMPTY,Enabled
EXT,AUT,EMPTY,Enabled
EXT,Abelardo,EMPTY,Enabled
EXT,COR,EMPTY,Enabled
EXT,EKO,EMPTY,Enabled
EXT,EXT,EMPTY,Enabled
EXT,FMC,EMPTY,Enabled
EXT,GuestMobile,EMPTY,Enabled
EXT,GuestWS,EMPTY,Enabled
EXT,Guests,EMPTY,Enabled
EXT,JuanP,EMPTY,Enabled
EXT,LAB1,EMPTY,Enabled
EXT,LAB2,EMPTY,Enabled
EXT,Lorenzo,EMPTY,Enabled
EXT,Luis,EMPTY,Enabled
EXT,MM,EMPTY,Enabled
EXT,MariLuz,EMPTY,Enabled
EXT,PACO,EMPTY,Enabled
EXT,PRINT,EMPTY,Enabled
EXT,Quarantined_Systems,EMPTY,Enabled
EXT,REPSOL,EMPTY,Enabled
EXT,TESTSGT21,EMPTY,Enabled
EXT,TESTSGT22,EMPTY,Enabled
EXT,TESTSGT23,EMPTY,Enabled
EXT,TESTSGT3,EMPTY,Enabled
EXT,TESTSGT4,EMPTY,Enabled
EXT,TESTSGT5,EMPTY,Enabled
EXT,TESTSGT6,EMPTY,Enabled
EXT,TESTSGT7,EMPTY,Enabled
EXT,TESTSGT8,EMPTY,Enabled
EXT,THIN,EMPTY,Enabled
EXT,TLF,EMPTY,Enabled
EXT,TOIP,EMPTY,Enabled
EXT,UPS,EMPTY,Enabled
EXT,Unknown,EMPTY,Enabled
EXT,VISIT,EMPTY,Enabled
EXT,WCOR,Deny IP,Enabled
EXT,WGUEST,EMPTY,Enabled
EXT,WINT,EMPTY,Enabled
EXT,WMIR,EMPTY,Enabled
EXT,WPDA,EMPTY,Enabled
EXT,WVOIP,EMPTY,Enabled
EXT,asier,EMPTY,Enabled
EXT,dddd,EMPTY,Enabled
EXT,istvan,EMPTY,Enabled
EXT,istvan3,EMPTY,Enabled
FMC,AP,EMPTY,Enabled
FMC,AUT,EMPTY,Enabled
FMC,Abelardo,EMPTY,Enabled
